THD,T,Epsilon,Time
16,32,0.0001,0.60724
16,32,0.0001,0.606967
16,32,0.0001,0.606916
16,32,0.0001,0.607108
16,32,0.0001,0.606854
16,32,0.0001,0.606912
16,32,0.0001,0.606934
16,32,0.0001,0.607282
16,32,0.0001,0.607421
16,32,0.0001,0.607249
16,32,0.0001,0.606911
16,32,0.0001,0.606865
16,32,0.0001,0.607127
16,32,0.0001,0.607222
16,32,0.0001,0.607163
16,32,0.0001,0.607281
16,32,0.0001,0.607115
16,32,0.0001,0.607118
16,32,0.0001,0.607291
16,32,0.0001,0.607019
16,32,0.0001,0.607892
16,32,0.0001,0.608176
16,32,0.0001,0.607048
16,32,0.0001,0.607374
16,32,0.0001,0.607315
16,32,0.0001,0.606826
16,32,0.0001,0.606909
16,32,0.0001,0.607215
16,32,0.0001,0.607083
16,32,0.0001,0.607098
16,32,0.0001,0.606934
16,32,0.0001,0.606882
16,32,0.0001,0.607166
16,32,0.0001,0.607283
16,32,0.0001,0.606869
16,32,0.0001,0.607023
16,32,0.0001,0.606986
16,32,0.0001,0.606878
16,32,0.0001,0.607016
16,32,0.0001,0.606889
16,32,0.0001,0.606479
16,32,0.0001,0.606683
16,32,0.0001,0.606473
16,32,0.0001,0.606618
16,32,0.0001,0.606864
16,32,0.0001,0.606873
16,32,0.0001,0.606759
16,32,0.0001,0.606813
16,32,0.0001,0.606724
16,64,0.001,5.69954
16,64,0.001,5.69832
16,64,0.001,5.70252
16,64,0.001,5.70324
16,64,0.001,5.70291
16,64,0.001,5.70542
16,64,0.001,5.7077
16,64,0.001,5.70802
16,64,0.001,5.70854
16,64,0.001,5.71005
16,64,0.001,5.70892
16,64,0.001,5.71021
16,64,0.001,5.70823
16,64,0.001,5.70636
16,64,0.001,5.71033
16,64,0.001,5.70982
16,64,0.001,5.70388
16,64,0.001,5.70769
16,64,0.001,5.70516
16,64,0.001,5.70598
16,64,0.001,5.70468
16,64,0.001,5.70501
16,64,0.001,5.70356
16,64,0.001,5.70779
16,64,0.001,5.70477
16,64,0.001,5.70072
16,64,0.001,5.70596
16,64,0.001,5.70081
16,64,0.001,5.70293
