THD,T,Time
2,4,0.929497
2,4,0.931085
2,4,0.92985
2,4,0.932185
2,4,0.930005
2,4,0.930167
2,4,0.840077
2,4,0.578797
2,4,0.591822
2,4,0.574965
2,4,0.585275
2,4,0.581749
2,4,0.585265
2,4,0.565704
2,4,0.565356
2,4,0.565258
2,4,0.592088
2,4,0.57683
2,4,0.580462
2,4,0.607168
2,4,0.594589
2,5,3.82699
2,5,3.82137
2,5,3.83007
2,5,3.83206
2,5,3.82973
2,5,3.82514
2,5,3.66436
2,5,3.86643
2,5,3.81813
2,5,3.82595
2,5,3.83484
2,5,3.58208
2,5,3.28308
2,5,3.8247
2,5,3.8257
2,5,3.81136
2,5,3.8216
2,5,3.82026
2,5,3.81969
2,5,3.82178
2,5,2.84581
2,5,2.32518
2,5,2.78615
2,5,3.57367
2,5,3.82027
2,5,3.36713
2,5,3.22282
2,5,3.82076
2,5,3.08533
2,5,3.64975
2,5,3.80288
2,5,3.34719
2,5,2.31671
2,5,2.31913
2,5,2.31719
2,5,2.31676
2,5,2.32033
2,5,2.32128
2,5,2.69579
2,5,3.22464
2,5,2.31298
2,5,2.36677
2,5,2.32707
2,5,2.32562
2,5,2.33149
2,5,2.32416
2,5,2.32356
2,5,2.32207
2,5,2.32047
2,5,2.31775
2,6,8.85557
2,6,12.1072
2,6,14.8663
2,6,14.2586
2,6,9.10901
2,6,8.87566
2,6,8.96337
2,6,14.3618
2,6,8.92539
2,6,9.57382
2,6,8.95706
2,6,9.12424
2,6,14.8765
2,6,14.8702
2,6,14.8575
2,6,13.7115
2,6,12.3978
2,6,11.9534
2,6,11.8795
2,6,8.93547
2,6,9.6263
2,6,9.35102
2,6,8.91301
2,6,8.93109
2,6,8.91815
2,6,8.92081
2,6,8.91538
2,6,8.91986
2,6,10.5928
2,6,8.87825
2,6,8.88168
2,6,8.89303
2,6,8.87444
2,6,8.88129
2,6,8.97661
2,6,8.9309
2,6,8.85944
2,6,8.86229
2,6,8.83789
2,6,8.83952
2,6,8.85954
2,6,8.84351
2,6,8.85254
2,6,8.85274
2,6,8.86702
2,6,14.733
2,6,14.8831
2,6,14.9549
2,6,14.7038
2,6,14.6925
4,1,0.0153409
4,1,0.0154611
4,1,0.0152322
4,1,0.015452
4,1,0.0155252
4,1,0.0154861
4,1,0.0152961
4,1,0.0155237
4,1,0.0154895
4,1,0.015451
4,1,0.0156213
4,1,0.0153879
4,1,0.0152055
4,1,0.0153331
4,1,0.0153549
4,1,0.0153038
4,1,0.0151888
4,1,0.0153184
4,1,0.015319
4,1,0.0154228
4,1,0.0153099
4,1,0.0154267
4,1,0.0154015
4,1,0.01546
4,1,0.0153988
4,1,0.0154996
4,1,0.0152482
4,1,0.0155549
4,1,0.0155234
4,1,0.0152853
4,1,0.0154231
4,1,0.0152915
4,1,0.0153927
4,1,0.0155099
4,1,0.0154175
4,1,0.0152793
4,1,0.0154839
4,1,0.0153769
4,1,0.0153361
4,1,0.0155088
